"ISO3","occurrence","logtotalGearTonnes","logPprodMean","logCoastPop","logEstDis","logProteinDiet","logGDP","HDI","logMang","WGI","logChondCatch","SstMean","logShelfAreaShallow","logFishEffort","speciesdwarf","speciesgreen","specieslarge","speciesnarrow","speciessmall"
"BHS",2,7.38704991115569,0.000735314589952145,12.6872201999426,0,1.36027480721141,9.32926053863176,0.792,5.67813907042334,0.697046923166667,1.09861228866811,25.5,10.8112603134817,2.84417522189897,0,0,1,0,0
"CUB",2,13.6254971765909,0.000797842638900053,16.2282501968678,2.15722896084828,1.03019202948776,11.3752001472664,0.775,7.40633960485285,-0.472210845666667,10.368981026304,26,10.3135588017366,2.05524736254318,0,0,1,0,0
"DOM",2,10.9466381301654,0.00135465304310883,16.039812003564,3.86895891595712,0.778329054840933,6.36729485008646,0.722,4.33425411586522,-0.150310655333333,8.24143968982973,26.5,7.3311750045998,1.43218655733979,0,0,1,0,0
"HTI",2,10.7730384195933,0.000549479008755228,16.0195601253137,3.09557760852371,0.34959332458391,8.9901474632315,0.493,3.83221922299303,-1.17458961433333,0,27,6.63314178807427,0,0,0,1,0,0
"JAM",2,9.82417412238452,0.000433825883941709,14.7927921504636,2.80880010420235,1.53247536186287,9.5509405056667,0.73,3.51133144966832,0.181991073,0,27.5,7.01604620947726,3.51867951735183,0,0,1,0,0
"MEX",2,17.9382728959526,0.00782466629750786,17.2504495351765,4.93489650570483,0.773335015582985,13.8613666123166,0.762,7.34172295987319,-0.2820138895,13.1746654627911,25.5,11.23996613615,5.88946206216233,0,0,1,0,0
"BRN",2,12.7644228862813,0.0124627937554598,12.8200332101988,0,1.68454538492091,9.34151336075133,0.865,3.77596732501117,0.542355179833333,4.85203026391962,27.5,7.7150739320149,1.68417425854812,0,0,1,0,0
"CHN",2,19.0128036348554,0.0190520623594425,19.5640007192515,8.43420746683755,1.58024225179583,16.2313480976449,0.738,2.84978459112579,-0.419930289166667,9.88542540971772,15,12.1552815466003,6.54163046822293,0,0,1,0,0
"KEN",2,12.1594298284548,0.0169106603723842,14.8258739769917,4.01921683953026,0.45986990893624,11.1637935719859,0.555,5.03282355389914,-0.5861241595,8.35725915349991,27.5,7.89618820888434,1.32677056759582,0,0,1,0,0
"MMR",2,16.9500204642965,0.00886596690540848,16.9418061174188,8.46414397032642,1.30629096084991,11.0544724695679,0.556,6.92505486058523,-0.828688293833333,0,26,10.9714310157031,3.749924431156,0,0,1,0,0
"LKA",2,15.710513475361,0.0141994075588979,16.8047063149646,4.34657215368948,1.34647913165416,11.3061826827571,0.766,3.42184152961708,-0.107486747333333,11.7069861807528,27,9.50679515418722,2.98464799232974,0,0,1,0,0
"TWN",2,16.3311977860092,0.0167384246736937,16.9263410217562,4.00131511290691,1.73375719222151,13.1719551249818,0.738,0.591282331821849,1.103024751,13.1932597693794,21,9.23759313093483,3.66930057101593,0,0,1,0,0
"TZA",2,13.9459999523038,0.0123973927692907,15.8651741033813,5.51845640884195,0,10.7651334852629,0.531,6.0519259487812,-0.4115185165,11.2928771185633,28,9.40833661154002,2.11369431372171,0,0,1,0,0
"TLS",2,10.0795017207507,0.00455658299011245,13.7612032523205,0,0.16327336182326,7.48659649685506,0.605,0,-0.593197930666667,0,28.5,6.86462787947345,0.549729718753693,0,0,1,0,0
"VNM",2,17.4807112000812,0.013818313820041,18.0248789750241,8.5976402129483,1.21896365157866,12.2321163937061,0.683,5.31468494148771,-0.3384076615,0,24,11.5121577745713,5.16200673078734,0,0,1,0,0
