"country","method","citation"
"Australia","Fisheries","Jaiteh, V., Allen, S.J., Meeuwig, J.J. & Loneragan, N.R. (2014). Combining in-trawl video with observer coverage improves understanding of protected and vulnerable species by-catch in trawl fisheries. Marine and Freshwater Research 65, 830-837."
"United States Of America","Ecological research","Olin, JA., Poulakis, GR., Stevens, P., DeAngelo, JA. & Fisk, AT. (2014). Preservation effects on stable isotope values of archived elasmobranch fin tissue: comparisons between frozen and ethanol-stored samples. Transactions of the American Fisheries Society 143, 1569-1576."
"United States Of America","Ecological research","Carlson, JK., Gulak, SJB., Simpfendorfer, CA., Grubbs, RD., Romine, JG. & Burgess, GH. (2014). Movement patterns and habitat use of smalltooth sawfish, Pristis pectinata, determined using pop-up satellite archival tags. Aquatic Conservation - Marine and Freshwater Ecosystems 24, 104-117."
"Mexico","Historical ecology","Fernandez-Carvalho, J., Imhoff, JL., Faria, VV., Carlson, JK. & Burgess, GH. (2014). Status and potential for extinction of the largetooth sawfish Pristis pristis in the Atlantic Ocean. Aquatic Conservation - Marine and Freshwater Ecosystems 24, 478-497."
"Guatemala","Historical ecology","Fernandez-Carvalho, J., Imhoff, JL., Faria, VV., Carlson, JK. & Burgess, GH. (2014). Status and potential for extinction of the largetooth sawfish Pristis pristis in the Atlantic Ocean. Aquatic Conservation - Marine and Freshwater Ecosystems 24, 478-497."
"Nicaragua","Historical ecology","Fernandez-Carvalho, J., Imhoff, JL., Faria, VV., Carlson, JK. & Burgess, GH. (2014). Status and potential for extinction of the largetooth sawfish Pristis pristis in the Atlantic Ocean. Aquatic Conservation - Marine and Freshwater Ecosystems 24, 478-497."
"Costa Rica","Historical ecology","Fernandez-Carvalho, J., Imhoff, JL., Faria, VV., Carlson, JK. & Burgess, GH. (2014). Status and potential for extinction of the largetooth sawfish Pristis pristis in the Atlantic Ocean. Aquatic Conservation - Marine and Freshwater Ecosystems 24, 478-497."
"Caribbean","Historical ecology","Fernandez-Carvalho, J., Imhoff, JL., Faria, VV., Carlson, JK. & Burgess, GH. (2014). Status and potential for extinction of the largetooth sawfish Pristis pristis in the Atlantic Ocean. Aquatic Conservation - Marine and Freshwater Ecosystems 24, 478-497."
"Colombia","Historical ecology","Fernandez-Carvalho, J., Imhoff, JL., Faria, VV., Carlson, JK. & Burgess, GH. (2014). Status and potential for extinction of the largetooth sawfish Pristis pristis in the Atlantic Ocean. Aquatic Conservation - Marine and Freshwater Ecosystems 24, 478-497."
"Venezuela","Historical ecology","Fernandez-Carvalho, J., Imhoff, JL., Faria, VV., Carlson, JK. & Burgess, GH. (2014). Status and potential for extinction of the largetooth sawfish Pristis pristis in the Atlantic Ocean. Aquatic Conservation - Marine and Freshwater Ecosystems 24, 478-497."
"Trinidad","Historical ecology","Fernandez-Carvalho, J., Imhoff, JL., Faria, VV., Carlson, JK. & Burgess, GH. (2014). Status and potential for extinction of the largetooth sawfish Pristis pristis in the Atlantic Ocean. Aquatic Conservation - Marine and Freshwater Ecosystems 24, 478-497."
"Guyana","Historical ecology","Fernandez-Carvalho, J., Imhoff, JL., Faria, VV., Carlson, JK. & Burgess, GH. (2014). Status and potential for extinction of the largetooth sawfish Pristis pristis in the Atlantic Ocean. Aquatic Conservation - Marine and Freshwater Ecosystems 24, 478-497."
"Suriname","Historical ecology","Fernandez-Carvalho, J., Imhoff, JL., Faria, VV., Carlson, JK. & Burgess, GH. (2014). Status and potential for extinction of the largetooth sawfish Pristis pristis in the Atlantic Ocean. Aquatic Conservation - Marine and Freshwater Ecosystems 24, 478-497."
"French Guiana","Historical ecology","Fernandez-Carvalho, J., Imhoff, JL., Faria, VV., Carlson, JK. & Burgess, GH. (2014). Status and potential for extinction of the largetooth sawfish Pristis pristis in the Atlantic Ocean. Aquatic Conservation - Marine and Freshwater Ecosystems 24, 478-497."
"Brazil","Historical ecology","Fernandez-Carvalho, J., Imhoff, JL., Faria, VV., Carlson, JK. & Burgess, GH. (2014). Status and potential for extinction of the largetooth sawfish Pristis pristis in the Atlantic Ocean. Aquatic Conservation - Marine and Freshwater Ecosystems 24, 478-497."
"Mauritania","Historical ecology","Fernandez-Carvalho, J., Imhoff, JL., Faria, VV., Carlson, JK. & Burgess, GH. (2014). Status and potential for extinction of the largetooth sawfish Pristis pristis in the Atlantic Ocean. Aquatic Conservation - Marine and Freshwater Ecosystems 24, 478-497."
"Senegal","Historical ecology","Fernandez-Carvalho, J., Imhoff, JL., Faria, VV., Carlson, JK. & Burgess, GH. (2014). Status and potential for extinction of the largetooth sawfish Pristis pristis in the Atlantic Ocean. Aquatic Conservation - Marine and Freshwater Ecosystems 24, 478-497."
"Gambia","Historical ecology","Fernandez-Carvalho, J., Imhoff, JL., Faria, VV., Carlson, JK. & Burgess, GH. (2014). Status and potential for extinction of the largetooth sawfish Pristis pristis in the Atlantic Ocean. Aquatic Conservation - Marine and Freshwater Ecosystems 24, 478-497."
"Guinea-Bissau","Historical ecology","Fernandez-Carvalho, J., Imhoff, JL., Faria, VV., Carlson, JK. & Burgess, GH. (2014). Status and potential for extinction of the largetooth sawfish Pristis pristis in the Atlantic Ocean. Aquatic Conservation - Marine and Freshwater Ecosystems 24, 478-497."
"Guinea","Historical ecology","Fernandez-Carvalho, J., Imhoff, JL., Faria, VV., Carlson, JK. & Burgess, GH. (2014). Status and potential for extinction of the largetooth sawfish Pristis pristis in the Atlantic Ocean. Aquatic Conservation - Marine and Freshwater Ecosystems 24, 478-497."
"Sierra Leone","Historical ecology","Fernandez-Carvalho, J., Imhoff, JL., Faria, VV., Carlson, JK. & Burgess, GH. (2014). Status and potential for extinction of the largetooth sawfish Pristis pristis in the Atlantic Ocean. Aquatic Conservation - Marine and Freshwater Ecosystems 24, 478-497."
